hour,n_bets,win_rate,roi,avg_edge,avg_model_prob,win_rate_vs_baseline,roi_vs_baseline,is_late_night,chi2_stat
2,280,0.6178571428571429,0.017576135677695216,0.2693435008652096,0.7377833255751441,0.02859123023793686,0.002625632899153716,True,0.3884296717722278
3,297,0.6127946127946128,0.09762945295971892,0.27808602592975695,0.7436326726123713,0.023528700175406758,0.08267895018117742,True,0.2790236408832857
4,307,0.6221498371335505,0.06391982488242114,0.24528696533716435,0.7256804608467579,0.03288392451434452,0.04896932210387964,True,0.56337081064846
5,127,0.44881889763779526,-0.19316088818829072,0.2513343895396361,0.7181091879682381,-0.14044701498141077,-0.20811139096683223,True,4.251257669136219
6,288,0.6041666666666666,-0.030648088307580135,0.276165464798343,0.7398221148281154,0.014900754047460607,-0.04559859108612163,True,0.10851697057522137
7,284,0.5985915492957746,0.019460136250751187,0.2537310008135312,0.7414170158799221,0.009325636676568605,0.004509633472209687,False,0.041914472409326976
8,282,0.5638297872340425,0.054770664333036255,0.264476737105807,0.7352753608296917,-0.02543612538516349,0.039820161554494755,False,0.3096276263953111
9,105,0.6190476190476191,0.0008416916895720674,0.28985531227940436,0.7680999903234697,0.029781706428413046,-0.014108811088969431,False,0.15804368108416372
10,285,0.5368421052631579,-0.029233971778034516,0.2723786845642943,0.7345323167116768,-0.052423807356048124,-0.044184474556576016,False,1.3292009988566993
11,284,0.5809859154929577,0.02883243116826534,0.2625141224772888,0.7261432119809371,-0.008279997126248273,0.013881928389723842,False,0.03304208111765568
12,295,0.5728813559322034,-0.049680587244903394,0.27508449662584517,0.7248753575711299,-0.01638455668700267,-0.06463109002344489,False,0.13439406414623073
13,114,0.6140350877192983,0.1409269823553853,0.2811139732113405,0.7403429319441824,0.024769175100092244,0.12597647957684383,False,0.118690680231229
14,237,0.6244725738396625,0.07831845820088529,0.28275070728142304,0.7363935707376553,0.03520666122045646,0.06336795542234379,False,0.4985247328179277
15,271,0.5608856088560885,-0.027857448398500472,0.2740105432297454,0.7383671985572143,-0.02838030376311751,-0.042807951177041975,False,0.37041797297747564
16,259,0.5752895752895753,-0.026866576072549504,0.26357432304612166,0.7290211351182061,-0.013976337329630772,-0.041817078851091004,False,0.08585689796546216
17,112,0.6160714285714286,-0.015402990396276586,0.2570722438615857,0.7480339027855872,0.02680551595222258,-0.030353493174818086,False,0.13656991699105653
18,158,0.6708860759493671,0.196114992419877,0.2883301657809839,0.7477261238061224,0.08162016333016109,0.18116448964133552,False,1.786243604562364
19,203,0.5714285714285714,-0.13714825515788456,0.2538460537497036,0.7374169646885373,-0.017837341190634626,-0.15209875793642608,False,0.10960868258166737
20,90,0.6111111111111112,0.0493059463869414,0.24561812338114697,0.7333471247355141,0.021845198491905138,0.0343554436083999,False,0.07288584291710155
21,91,0.5604395604395604,0.020021151952049784,0.2538426749125531,0.7231619537733164,-0.028826352179645576,0.005070649173508284,False,0.128324461264903
22,97,0.5773195876288659,0.08117517368470008,0.27288144909423084,0.7384508345821094,-0.011946324990340096,0.06622467090615858,True,0.0234924908071234
23,36,0.6388888888888888,0.05291157557498742,0.24511509698065959,0.7666494307929933,0.04962297626968282,0.03796107279644592,True,0.15043773950029934
