prob_low,prob_high,n_bets,model_expected,empirical_win_rate,use_for_kelly,recalibrate
0.35,0.4,21,0.3805510506035855,0.5238095238095238,0.3805510506035855,False
0.4,0.45,77,0.42675683149276933,0.38961038961038963,0.42675683149276933,False
0.45,0.5,128,0.4758436615747965,0.375,0.4758436615747965,False
0.5,0.55,223,0.5316700444738733,0.4663677130044843,0.5316700444738733,False
0.55,0.6,397,0.5759483979263393,0.5188916876574308,0.5759483979263393,False
0.6,0.65,573,0.626758204882301,0.49040139616055844,0.626758204882301,False
0.65,0.7,584,0.6758489293764484,0.5958904109589042,0.5958904109589042,True
0.7,0.75,504,0.7258998720444546,0.6111111111111112,0.6111111111111112,True
0.75,0.8,594,0.775423778991644,0.6195286195286195,0.6195286195286195,True
0.8,0.85,304,0.8210817628371393,0.6052631578947368,0.6052631578947368,True
0.85,0.9,149,0.8741987167891608,0.7114093959731543,0.7114093959731543,True
0.9,0.95,325,0.9279372650912038,0.6676923076923077,0.6676923076923077,True
